2019-12-23 13:27:37,161,2019-12-23_12_27_37,INFO,rs,1717612736,__main__,population_size,"10
",x_y_limits,400,z_sigma,5,sample_point_distance,350 Meters,selection_pressure,0.3,pc,0.7,pm,0.25,aimed_point_factor,1,n_crossover,3,mutation_max_disturbance_distance,120,mutation_group_size,5,percentage_inserted_and_deleted,0.25,percentage_disturbed,0.25,,,,,,,,,,,,,,,
2019-12-23 13:57:12,065,2019-12-23_12_27_37,INFO,0,threedpoints_1577102073__0,299.2799271821315,threedpoints_1577102325__0,38.870072885440905,threedpoints_1577103910__0,4.123189990824786,0.95237367181997,[[302.2230335608245,41.82174080118135,4.416087063774317],[304.5078377332757,48.65176165820149,4.352466931115228],[328.75720318181715,44.9380195909184,4.338962107858222],[315.6500977603924,53.08151322113159,4.1557616789157805],[307.3884333187082,45.38380337096481,4.293553045783938],[306.34555651111583,47.04425905927188,4.193817189632453],[299.2799271821315,40.332934201662624,4.439391778141528],[338.0138938966192,50.24327328255474,4.1595703895962455],[306.1917790703046,38.870072885440905,4.58645815497477],[315.6500977603924,53.08151322113159,4.1557616789157805],[328.75720318181715,44.9380195909184,4.338962107858222],[307.1816631940504,53.244865333804334,4.123189990824786]]
2019-12-23 14:37:29,343,2019-12-23_12_27_37,INFO,1,threedpoints_1577102197__1,259.92623030952103,threedpoints_1577102325__1,18.005552555855534,threedpoints_1577103910__0,4.123189990824786,593532964.543911,[[307.1816631940504,53.244865333804334,4.123189990824786],[259.92623030952103,32.18036642489736,4.150894519969701],[273.0723077243156,26.37361710961346,4.171897621674496],[262.12747455488113,18.005552555855534,4.288734976215284]],,,,,,,,,,,,,,,,,,,,,,,,
2019-12-23 15:27:26,426,2019-12-23_12_27_37,INFO,2,threedpoints_1577101571__2,249.355021447381,threedpoints_1577102325__1,18.005552555855534,threedpoints_1577103910__2,3.993663261496126,0.5877990499641754,[[259.92623030952103,32.18036642489736,4.150894519969701],[273.0723077243156,26.37361710961346,4.171897621674496],[262.12747455488113,18.005552555855534,4.288734976215284],[300.54096550914034,49.110196282330165,3.993663261496126],[284.7173531895147,47.873237237858575,4.028572173509643],[261.9917786865355,28.20510701053471,4.119650722958274],[250.4083088923937,28.69260801123686,4.395411134739448],[249.355021447381,19.18296440759792,4.482653597040816],[273.9643468856316,32.59766830682016,4.10423711379614]],,,,,,,,,
2019-12-23 16:26:27,775,2019-12-23_12_27_37,INFO,3,threedpoints_1577101759__3,243.40019444869498,threedpoints_1577102325__1,18.005552555855534,threedpoints_1577103910__2,3.993663261496126,1.6498028656005062,[[259.92623030952103,32.18036642489736,4.150894519969701],[273.0723077243156,26.37361710961346,4.171897621674496],[262.12747455488113,18.005552555855534,4.288734976215284],[300.54096550914034,49.110196282330165,3.993663261496126],[250.4083088923937,28.69260801123686,4.395411134739448],[251.29853716147485,22.320947702160655,4.352470021833574],[258.09783928416005,27.378626069645154,4.324509101566307],[260.9256530917371,27.83822704906664,4.03583788083383],[267.0376899840658,18.38870605140472,4.2157292323987425],[249.34377660336867,19.1236118752471,4.4719014904838446],[277.61407537162756,30.526383711001888,4.017637473562596],[243.40019444869498,21.607851855408153,4.63542443179771]]
2019-12-23 17:39:09,664,2019-12-23_12_27_37,INFO,4,threedpoints_1577101571__4,235.7415613063136,threedpoints_1577103253__4,17.312142170734298,threedpoints_1577103910__2,3.993663261496126,-1.2926659168423669,[[259.92623030952103,32.18036642489736,4.150894519969701],[273.0723077243156,26.37361710961346,4.171897621674496],[300.54096550914034,49.110196282330165,3.993663261496126],[267.0376899840658,18.38870605140472,4.2157292323987425],[249.34377660336867,19.1236118752471,4.4719014904838446],[277.61407537162756,30.526383711001888,4.017637473562596],[243.40019444869498,21.607851855408153,4.63542443179771],[245.18679945842268,25.17999066944117,4.545841062060943],[262.84111347077504,17.312142170734298,4.4519453470309],[251.59909918993802,25.959098905387954,4.1913266279613355],[235.7415613063136,21.995588070168786,4.653137819777241],[240.9220023333305,27.358593636801665,4.61867198014266]]
2019-12-23 19:02:42,171,2019-12-23_12_27_37,INFO,5,threedpoints_1577101571__4,235.7415613063136,threedpoints_1577103910__5,16.93448210094341,threedpoints_1577103910__2,3.993663261496126,1.409355783213769,[[259.92623030952103,32.18036642489736,4.150894519969701],[300.54096550914034,49.110196282330165,3.993663261496126],[267.0376899840658,18.38870605140472,4.2157292323987425],[249.34377660336867,19.1236118752471,4.4719014904838446],[277.61407537162756,30.526383711001888,4.017637473562596],[243.40019444869498,21.607851855408153,4.63542443179771],[251.59909918993802,25.959098905387954,4.1913266279613355],[235.7415613063136,21.995588070168786,4.653137819777241],[240.9220023333305,27.358593636801665,4.61867198014266],[259.95440762440495,22.6707077695632,4.168386092205013],[257.47106346949363,16.93448210094341,4.245099855115988],[253.41350429437688,22.69258731560639,4.243352917683272]]
2019-12-23 20:56:00,938,2019-12-23_12_27_37,INFO,6,threedpoints_1577101571__4,235.7415613063136,threedpoints_1577103910__5,16.93448210094341,threedpoints_1577103910__2,3.993663261496126,0.78292046436367,[[300.54096550914034,49.110196282330165,3.993663261496126],[267.0376899840658,18.38870605140472,4.2157292323987425],[249.34377660336867,19.1236118752471,4.4719014904838446],[277.61407537162756,30.526383711001888,4.017637473562596],[251.59909918993802,25.959098905387954,4.1913266279613355],[235.7415613063136,21.995588070168786,4.653137819777241],[259.95440762440495,22.6707077695632,4.168386092205013],[257.47106346949363,16.93448210094341,4.245099855115988],[253.41350429437688,22.69258731560639,4.243352917683272],[247.25647192400996,25.238565739345233,4.339554412306259],[238.46346624085686,22.236620746837303,4.628936421752029],[240.57057119566568,18.23394395249253,4.59719101768346]]
2019-12-23 23:09:43,671,2019-12-23_12_27_37,INFO,7,threedpoints_1577102197__7,233.04181629703135,threedpoints_1577103910__5,16.93448210094341,threedpoints_1577103910__2,3.993663261496126,593532981.5810374,[[300.54096550914034,49.110196282330165,3.993663261496126],[267.0376899840658,18.38870605140472,4.2157292323987425],[249.34377660336867,19.1236118752471,4.4719014904838446],[277.61407537162756,30.526383711001888,4.017637473562596],[251.59909918993802,25.959098905387954,4.1913266279613355],[259.95440762440495,22.6707077695632,4.168386092205013],[257.47106346949363,16.93448210094341,4.245099855115988],[253.41350429437688,22.69258731560639,4.243352917683272],[246.33989613385276,24.31722215339591,4.341818820561358],[233.04181629703135,17.27219581144077,4.534063644955503],[265.4142302473926,26.817877534791066,4.071017289310117],[262.7821826893651,30.160189500507773,4.133058693762062]]
2019-12-24 01:44:10,801,2019-12-23_12_27_37,INFO,8,threedpoints_1577102197__7,233.04181629703135,threedpoints_1577103910__5,16.93448210094341,threedpoints_1577103910__2,3.993663261496126,593532981.9131417,[[300.54096550914034,49.110196282330165,3.993663261496126],[267.0376899840658,18.38870605140472,4.2157292323987425],[249.34377660336867,19.1236118752471,4.4719014904838446],[277.61407537162756,30.526383711001888,4.017637473562596],[259.95440762440495,22.6707077695632,4.168386092205013],[257.47106346949363,16.93448210094341,4.245099855115988],[253.41350429437688,22.69258731560639,4.243352917683272],[233.04181629703135,17.27219581144077,4.534063644955503],[265.4142302473926,26.817877534791066,4.071017289310117],[262.7821826893651,30.160189500507773,4.133058693762062],[251.35253488647848,22.242674683423083,4.317304163886149],[246.29912899495594,24.09954034970739,4.339777686511472]]
2019-12-24 04:26:03,350,2019-12-23_12_27_37,INFO,9,threedpoints_1577102197__7,233.04181629703135,threedpoints_1577103910__5,16.93448210094341,threedpoints_1577103910__2,3.993663261496126,593532982.8702986,[[300.54096550914034,49.110196282330165,3.993663261496126],[267.0376899840658,18.38870605140472,4.2157292323987425],[277.61407537162756,30.526383711001888,4.017637473562596],[257.47106346949363,16.93448210094341,4.245099855115988],[253.41350429437688,22.69258731560639,4.243352917683272],[233.04181629703135,17.27219581144077,4.534063644955503],[265.4142302473926,26.817877534791066,4.071017289310117],[262.7821826893651,30.160189500507773,4.133058693762062],[260.22003079581765,19.00345110515212,4.238657822552376],[233.04181629703135,17.27219581144077,4.534063644955503],[240.50599058260684,17.16239289122327,4.253453626883888],[264.2715584221301,35.06235866060696,4.104697262315145]]
2019-12-24 07:08:49,913,2019-12-23_12_27_37,INFO,10,threedpoints_1577102197__7,233.04181629703135,threedpoints_1577103910__5,16.93448210094341,threedpoints_1577103910__2,3.993663261496126,-3.8487434329939987,[[300.54096550914034,49.110196282330165,3.993663261496126],[267.0376899840658,18.38870605140472,4.2157292323987425],[277.61407537162756,30.526383711001888,4.017637473562596],[257.47106346949363,16.93448210094341,4.245099855115988],[253.41350429437688,22.69258731560639,4.243352917683272],[233.04181629703135,17.27219581144077,4.534063644955503],[265.4142302473926,26.817877534791066,4.071017289310117],[262.7821826893651,30.160189500507773,4.133058693762062],[260.22003079581765,19.00345110515212,4.238657822552376],[240.50599058260684,17.16239289122327,4.253453626883888],[264.2715584221301,35.06235866060696,4.104697262315145],[233.04181629703135,17.27219581144077,4.534063644955503]]
2019-12-24 11:04:23,028,2019-12-23_12_27_37,INFO,11,threedpoints_1577102197__7,233.04181629703135,threedpoints_1577103910__5,16.93448210094341,threedpoints_1577103910__2,3.993663261496126,593532981.4893086,[[300.54096550914034,49.110196282330165,3.993663261496126],[267.0376899840658,18.38870605140472,4.2157292323987425],[277.61407537162756,30.526383711001888,4.017637473562596],[257.47106346949363,16.93448210094341,4.245099855115988],[253.41350429437688,22.69258731560639,4.243352917683272],[233.04181629703135,17.27219581144077,4.534063644955503],[265.4142302473926,26.817877534791066,4.071017289310117],[262.7821826893651,30.160189500507773,4.133058693762062],[260.22003079581765,19.00345110515212,4.238657822552376],[240.50599058260684,17.16239289122327,4.253453626883888],[264.2715584221301,35.06235866060696,4.104697262315145],[233.04181629703135,17.27219581144077,4.534063644955503]]
2019-12-24 14:31:21,264,2019-12-23_12_27_37,INFO,12,threedpoints_1577102197__7,233.04181629703135,threedpoints_1577101571__12,11.902380180078607,threedpoints_1577103910__2,3.993663261496126,0.6234177523596571,[[300.54096550914034,49.110196282330165,3.993663261496126],[277.61407537162756,30.526383711001888,4.017637473562596],[233.04181629703135,17.27219581144077,4.534063644955503],[265.4142302473926,26.817877534791066,4.071017289310117],[264.2715584221301,35.06235866060696,4.104697262315145],[233.04181629703135,17.27219581144077,4.534063644955503],[274.66008709058656,37.159334832275825,4.067642142447735],[234.82496752867675,11.902380180078607,4.129039842166374],[233.04181629703135,17.27219581144077,4.534063644955503],[233.04181629703135,17.27219581144077,4.534063644955503]],,,,,,
2019-12-24 17:00:44,436,2019-12-23_12_27_37,INFO,13,threedpoints_1577103910__13,225.90925319810924,threedpoints_1577101571__12,11.902380180078607,threedpoints_1577103910__2,3.993663261496126,-2.878751465643745,[[300.54096550914034,49.110196282330165,3.993663261496126],[277.61407537162756,30.526383711001888,4.017637473562596],[265.4142302473926,26.817877534791066,4.071017289310117],[274.66008709058656,37.159334832275825,4.067642142447735],[234.82496752867675,11.902380180078607,4.129039842166374],[225.90925319810924,12.248317866648964,4.502689453355815],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285]],,,,,,,,,,,,
2019-12-24 19:56:17,860,2019-12-23_12_27_37,INFO,14,threedpoints_1577103910__13,225.90925319810924,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-1.0358735115655975,[[300.54096550914034,49.110196282330165,3.993663261496126],[277.61407537162756,30.526383711001888,4.017637473562596],[265.4142302473926,26.817877534791066,4.071017289310117],[234.82496752867675,11.902380180078607,4.129039842166374],[225.90925319810924,12.248317866648964,4.502689453355815],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[269.3343017841262,32.621728085132375,4.059298297743607],[225.90925319810924,12.248317866648964,4.502689453355815],[225.90925319810924,12.248317866648964,4.502689453355815]]
2019-12-24 23:28:03,977,2019-12-23_12_27_37,INFO,15,threedpoints_1577103910__13,225.90925319810924,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-2.6948795043687284,[[300.54096550914034,49.110196282330165,3.993663261496126],[277.61407537162756,30.526383711001888,4.017637473562596],[265.4142302473926,26.817877534791066,4.071017289310117],[234.82496752867675,11.902380180078607,4.129039842166374],[225.90925319810924,12.248317866648964,4.502689453355815],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[269.3343017841262,32.621728085132375,4.059298297743607],[225.90925319810924,12.248317866648964,4.502689453355815],[258.0075757137021,27.135950971820833,4.111447920370837]]
2019-12-25 02:57:57,473,2019-12-23_12_27_37,INFO,16,threedpoints_1577102325__16,224.00884076528266,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-6.982211921672857,[[300.54096550914034,49.110196282330165,3.993663261496126],[277.61407537162756,30.526383711001888,4.017637473562596],[265.4142302473926,26.817877534791066,4.071017289310117],[234.82496752867675,11.902380180078607,4.129039842166374],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[269.3343017841262,32.621728085132375,4.059298297743607],[258.0075757137021,27.135950971820833,4.111447920370837],[227.34602007693516,12.117804673499279,4.488279602223509],[224.00884076528266,12.411023037815589,4.551519316179773]]
2019-12-25 07:38:30,690,2019-12-23_12_27_37,INFO,17,threedpoints_1577102325__16,224.00884076528266,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-2.6941679237515928,[[300.54096550914034,49.110196282330165,3.993663261496126],[265.4142302473926,26.817877534791066,4.071017289310117],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[269.3343017841262,32.621728085132375,4.059298297743607],[258.0075757137021,27.135950971820833,4.111447920370837],[224.00884076528266,12.411023037815589,4.551519316179773],[224.00884076528266,12.411023037815589,4.551519316179773],[265.26775683312866,35.728130896086824,4.0237935249520875],[277.61407537162756,30.526383711001888,4.017637473562596]]
2019-12-25 11:59:24,988,2019-12-23_12_27_37,INFO,18,threedpoints_1577103910__18,224.00863243158557,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-5.341378349406753,[[300.54096550914034,49.110196282330165,3.993663261496126],[265.4142302473926,26.817877534791066,4.071017289310117],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[265.26775683312866,35.728130896086824,4.0237935249520875],[224.00863243158557,12.341094247073217,4.5513756840364366],[269.3343017841262,32.621728085132375,4.059298297743607],[277.61407537162756,30.526383711001888,4.017637473562596],[255.9745238009834,26.05092655050264,4.095628284521397],[244.8340124411211,18.486047164358443,4.124566954047935]]
2019-12-25 17:25:57,844,2019-12-23_12_27_37,INFO,19,threedpoints_1577103910__18,224.00863243158557,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-2.0978528219896333,[[300.54096550914034,49.110196282330165,3.993663261496126],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[265.26775683312866,35.728130896086824,4.0237935249520875],[224.00863243158557,12.341094247073217,4.5513756840364366],[269.3343017841262,32.621728085132375,4.059298297743607],[277.61407537162756,30.526383711001888,4.017637473562596],[255.9745238009834,26.05092655050264,4.095628284521397],[235.21670775650676,16.36228426826005,4.218043521905773],[248.74893157533137,24.140781875219723,4.0998219356915815]]
